TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionDay,TransactionMonth,TransactionHour,AgeGroup,TransactionGroup,ChangeInBalance
TX000052,AC00482,424.56,2023-02-21 17:45:55,Debit,Omaha,D000598,179.43.245.131,M015,Online,51,Engineer,264,1,5183.85,Monday,Tuesday,February,17,50-65,medium transaction,
TX000053,AC00115,85.43,2023-06-07 16:45:34,Debit,Virginia Beach,D000235,194.174.252.1,M078,Branch,67,Doctor,145,1,14904.9,Monday,Wednesday,June,16,65+,0 transaction,
TX000054,AC00055,169.5,2023-09-07 16:51:27,Debit,San Diego,D000442,42.219.228.159,M036,Branch,28,Student,142,1,918.88,Monday,Thursday,September,16,18-35,very little transaction,
TX000055,AC00419,104.63,2023-03-29 17:47:16,Debit,Omaha,D000642,186.135.2.148,M095,ATM,62,Retired,90,1,4477.78,Monday,Wednesday,March,17,50-65,very little transaction,
TX000056,AC00374,316.95,2023-08-04 17:53:40,Debit,Mesa,D000013,81.102.230.41,M052,Branch,25,Student,83,1,1324.03,Monday,Friday,August,17,18-35,small transaction,
TX000057,AC00271,60.54,2023-12-14 17:52:37,Credit,Columbus,D000462,1.198.76.182,M095,Branch,57,Retired,52,1,3534.93,Monday,Thursday,December,17,50-65,0 transaction,
TX000058,AC00456,292.56,2023-03-03 17:37:41,Credit,Dallas,D000311,198.73.211.114,M075,Branch,68,Retired,61,1,4638.37,Monday,Friday,March,17,65+,small transaction,
TX000059,AC00143,386.52,2023-06-09 16:18:15,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,48,Engineer,28,1,5630.61,Monday,Friday,June,16,35-50,small transaction,
TX000060,AC00427,112.07,2023-10-02 16:35:22,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,23,Student,51,1,930.3,Monday,Monday,October,16,18-35,very little transaction,
TX000061,AC00438,568.52,2023-10-06 18:44:37,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,46,Engineer,152,1,5499.91,Monday,Friday,October,18,35-50,medium transaction,
TX000062,AC00002,263.99,2023-05-16 16:07:30,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,4175.02,Monday,Tuesday,May,16,65+,small transaction,204.67000000000002
TX000063,AC00425,349.64,2023-11-07 16:48:23,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,48,Engineer,226,1,6651.62,Monday,Tuesday,November,16,35-50,small transaction,
TX000064,AC00325,601.4,2023-05-30 17:43:25,Credit,Philadelphia,D000548,125.225.212.244,M001,Branch,56,Engineer,104,1,8458.29,Monday,Tuesday,May,17,50-65,medium transaction,
TX000065,AC00434,5.77,2023-11-02 16:01:40,Debit,Charlotte,D000461,155.164.18.235,M071,Online,50,Doctor,124,1,13988.12,Monday,Thursday,November,16,50-65,0 transaction,
TX000066,AC00242,201.33,2023-03-29 17:00:31,Credit,Nashville,D000098,145.246.171.225,M003,Branch,42,Engineer,186,1,2585.07,Monday,Wednesday,March,17,35-50,small transaction,182.65
TX000067,AC00319,298.42,2023-04-25 16:11:24,Debit,Indianapolis,D000435,92.214.76.157,M005,Branch,56,Retired,225,1,3014.75,Monday,Tuesday,April,16,50-65,small transaction,
TX000068,AC00460,521.06,2023-04-18 18:40:47,Debit,Albuquerque,D000305,131.41.45.13,M063,Branch,25,Student,128,1,1951.42,Monday,Tuesday,April,18,18-35,medium transaction,
TX000069,AC00461,117.28,2023-02-09 16:34:53,Credit,Austin,D000128,46.150.175.171,M057,Online,60,Engineer,16,1,3665.77,Monday,Thursday,February,16,50-65,very little transaction,
TX000070,AC00395,189.12,2023-11-13 16:42:28,Credit,Indianapolis,D000684,125.89.163.224,M040,Branch,32,Engineer,103,1,977.01,Monday,Monday,November,16,18-35,very little transaction,
TX000071,AC00217,133.55,2023-07-18 16:12:00,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,44,Engineer,220,1,3846.28,Monday,Tuesday,July,16,35-50,very little transaction,
TX000072,AC00053,143.21,2023-01-13 17:00:16,Debit,Dallas,D000410,65.164.3.100,M066,Online,35,Engineer,135,1,6374.82,Monday,Friday,January,17,35-50,very little transaction,
TX000073,AC00282,24.77,2023-07-04 18:20:33,Debit,Boston,D000180,9.230.41.239,M070,ATM,62,Retired,55,1,5866.01,Monday,Tuesday,July,18,50-65,0 transaction,-139.72
TX000074,AC00110,233.92,2023-10-20 16:54:28,Credit,Jacksonville,D000295,152.140.239.181,M046,Online,26,Student,280,1,6537.62,Monday,Friday,October,16,18-35,small transaction,
TX000075,AC00265,1212.51,2023-10-04 16:36:29,Debit,Indianapolis,D000231,193.83.0.183,M036,Branch,20,Student,24,1,605.95,Monday,Wednesday,October,16,18-35,large transaction,
TX000076,AC00239,232.12,2023-12-28 17:31:03,Debit,Omaha,D000073,156.173.170.140,M066,ATM,37,Engineer,51,1,6689.87,Monday,Thursday,December,17,35-50,small transaction,
TX000077,AC00007,162.63,2023-06-12 17:53:52,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,634.17,Monday,Monday,June,17,18-35,very little transaction,
TX000078,AC00022,91.53,2023-03-13 16:32:12,Debit,Milwaukee,D000363,94.37.250.128,M095,Branch,44,Doctor,69,1,14676.05,Monday,Monday,March,16,35-50,0 transaction,
TX000079,AC00464,120.29,2023-12-18 18:46:27,Debit,Miami,D000561,162.198.218.92,M045,Branch,19,Student,77,1,1362.39,Monday,Monday,December,18,18-35,very little transaction,
TX000080,AC00014,174.25,2023-07-17 18:54:31,Debit,Seattle,D000375,130.92.201.49,M032,Online,50,Doctor,67,1,10528.34,Monday,Monday,July,18,50-65,very little transaction,88.48
TX000081,AC00406,183.71,2023-06-19 18:22:10,Debit,Denver,D000488,86.103.2.29,M074,ATM,38,Engineer,102,1,552.52,Monday,Monday,June,18,35-50,very little transaction,
TX000082,AC00445,345.39,2023-10-23 17:13:57,Credit,Phoenix,D000097,131.41.45.13,M081,Online,58,Engineer,80,1,6451.96,Monday,Monday,October,17,50-65,small transaction,
TX000083,AC00236,922.55,2023-01-23 16:32:48,Debit,Detroit,D000206,21.97.154.92,M004,ATM,63,Retired,87,1,4715.84,Monday,Monday,January,16,50-65,large transaction,
TX000084,AC00220,259.91,2023-11-06 16:34:10,Debit,Denver,D000616,36.13.239.172,M028,Online,49,Doctor,170,1,7176.86,Monday,Monday,November,16,35-50,small transaction,
TX000085,AC00140,154.71,2023-07-03 16:40:24,Debit,San Diego,D000494,167.104.180.235,M030,Online,34,Doctor,157,1,1523.72,Monday,Monday,July,16,18-35,very little transaction,
TX000086,AC00098,1340.19,2023-09-29 17:22:10,Credit,Austin,D000574,165.114.224.47,M012,Online,54,Engineer,30,1,8654.28,Monday,Friday,September,17,50-65,large transaction,
TX000087,AC00303,24.56,2023-10-20 17:27:35,Debit,Mesa,D000428,16.131.3.140,M033,Branch,64,Doctor,69,1,9869.93,Monday,Friday,October,17,50-65,0 transaction,
TX000088,AC00373,568.07,2023-08-28 17:03:53,Debit,Washington,D000018,8.243.4.138,M054,ATM,48,Doctor,115,1,10556.81,Monday,Monday,August,17,35-50,medium transaction,
TX000089,AC00438,9.61,2023-06-22 18:37:29,Credit,San Diego,D000453,132.127.5.187,M043,Online,58,Doctor,179,1,12883.91,Monday,Thursday,June,18,50-65,0 transaction,-558.91
TX000090,AC00437,392.96,2023-11-20 16:28:09,Debit,Kansas City,D000141,186.54.68.246,M022,Online,24,Student,100,1,791.65,Monday,Monday,November,16,18-35,small transaction,
TX000091,AC00106,716.93,2023-09-14 16:49:33,Credit,Milwaukee,D000322,101.223.82.253,M052,Online,60,Retired,34,1,4064.02,Monday,Thursday,September,16,50-65,medium transaction,
TX000092,AC00310,223.85,2023-10-02 16:36:10,Debit,Kansas City,D000481,133.223.159.151,M009,ATM,53,Engineer,55,4,2929.91,Monday,Monday,October,16,50-65,small transaction,
TX000093,AC00149,230.66,2023-03-27 18:16:04,Debit,Houston,D000526,60.43.160.195,M049,Branch,21,Student,135,1,618.05,Monday,Monday,March,18,18-35,small transaction,
TX000094,AC00373,442.12,2023-12-21 16:37:03,Debit,Los Angeles,D000645,168.36.49.167,M047,Online,19,Student,260,1,1375.8,Monday,Thursday,December,16,18-35,medium transaction,-125.95000000000005
TX000095,AC00425,644.17,2023-03-02 16:05:09,Debit,San Antonio,D000178,165.38.56.205,M093,ATM,29,Engineer,72,1,1143.52,Monday,Thursday,March,16,18-35,medium transaction,294.53
TX000096,AC00010,508.68,2023-06-26 16:16:50,Credit,Mesa,D000622,193.108.17.115,M048,Branch,51,Engineer,127,1,7708.41,Monday,Monday,June,16,50-65,medium transaction,
TX000097,AC00348,858.63,2023-04-18 17:27:23,Credit,San Francisco,D000019,175.230.206.232,M002,Branch,27,Student,185,1,1872.96,Monday,Tuesday,April,17,18-35,large transaction,
TX000098,AC00011,25.36,2023-07-17 17:08:24,Debit,Louisville,D000192,62.152.134.92,M007,ATM,57,Engineer,78,1,201.04,Monday,Monday,July,17,50-65,0 transaction,-278.95
TX000099,AC00453,147.62,2023-09-01 17:26:02,Debit,Charlotte,D000093,149.84.108.18,M028,Branch,71,Retired,133,1,2115.8,Monday,Friday,September,17,65+,very little transaction,-198.21999999999997
TX000100,AC00178,115.02,2023-09-11 16:19:04,Debit,San Antonio,D000528,134.222.122.238,M004,Branch,37,Doctor,175,1,7643.66,Monday,Monday,September,16,35-50,very little transaction,
TX000101,AC00265,383.37,2023-01-24 17:23:56,Debit,Fort Worth,D000321,18.72.115.111,M066,Branch,30,Engineer,24,1,8901.93,Monday,Tuesday,January,17,18-35,small transaction,-829.14
TX000102,AC00018,98.54,2023-08-11 16:18:46,Credit,El Paso,D000528,34.125.226.63,M095,Online,20,Student,167,1,9383.43,Monday,Friday,August,16,18-35,0 transaction,
TX000103,AC00075,83.24,2023-10-16 18:35:11,Credit,Fort Worth,D000607,21.28.32.1,M009,Branch,55,Doctor,164,1,1181.31,Monday,Monday,October,18,50-65,0 transaction,
TX000104,AC00464,196.16,2023-02-24 16:29:23,Debit,Virginia Beach,D000164,204.34.243.93,M099,Branch,27,Engineer,146,1,9418.86,Monday,Friday,February,16,18-35,very little transaction,75.86999999999999
TX000105,AC00170,129.94,2023-01-02 16:36:02,Debit,Las Vegas,D000647,111.226.226.202,M045,ATM,32,Engineer,235,1,7954.92,Monday,Monday,January,16,18-35,very little transaction,
TX000106,AC00235,306.9,2023-11-30 16:31:03,Debit,Colorado Springs,D000078,96.115.67.230,M047,Online,46,Engineer,51,1,9418.08,Monday,Thursday,November,16,35-50,small transaction,
TX000107,AC00013,114.98,2023-11-01 16:52:01,Debit,Seattle,D000182,115.218.48.83,M032,Online,59,Retired,80,1,6144.68,Monday,Wednesday,November,16,50-65,very little transaction,
TX000108,AC00397,756.59,2023-03-06 16:47:02,Debit,Sacramento,D000028,174.61.77.54,M012,Branch,27,Student,17,1,420.65,Monday,Monday,March,16,18-35,medium transaction,
TX000109,AC00423,503.76,2023-11-27 18:32:49,Debit,Los Angeles,D000518,216.151.64.40,M083,Online,22,Student,35,1,447.82,Monday,Monday,November,18,18-35,medium transaction,
TX000110,AC00154,143.03,2023-07-31 16:37:46,Debit,San Antonio,D000469,197.162.55.147,M055,ATM,63,Retired,147,1,7981.45,Monday,Monday,July,16,50-65,very little transaction,
TX000111,AC00068,1045.22,2023-11-22 16:13:39,Debit,Columbus,D000400,77.7.223.184,M077,ATM,53,Retired,73,1,1829.9,Monday,Wednesday,November,16,50-65,large transaction,
TX000112,AC00318,245.54,2023-03-21 16:29:31,Debit,New York,D000536,44.197.126.59,M089,ATM,25,Student,180,1,985.06,Monday,Tuesday,March,16,18-35,small transaction,
TX000113,AC00396,254.37,2023-04-20 18:26:50,Credit,Dallas,D000477,143.212.47.226,M012,Online,51,Engineer,174,1,8849.26,Monday,Thursday,April,18,50-65,small transaction,
TX000114,AC00121,213.76,2023-03-01 17:52:14,Credit,Dallas,D000574,51.250.122.123,M009,ATM,78,Retired,282,1,3528.72,Monday,Wednesday,March,17,65+,small transaction,
TX000115,AC00336,327.86,2023-02-10 16:52:48,Debit,Fresno,D000655,188.124.181.12,M051,Online,40,Engineer,104,1,480.16,Monday,Friday,February,16,35-50,small transaction,
TX000116,AC00468,2.5,2023-07-21 16:43:11,Debit,San Diego,D000673,44.73.3.217,M042,Online,47,Doctor,107,1,12145.27,Monday,Friday,July,16,35-50,0 transaction,
TX000117,AC00282,300.08,2023-10-09 17:02:43,Credit,Austin,D000266,85.240.254.83,M040,Online,68,Doctor,47,1,13546.75,Monday,Monday,October,17,65+,small transaction,275.31
TX000118,AC00498,56.98,2024-01-01 16:34:10,Credit,Oklahoma City,D000256,101.90.40.193,M086,ATM,43,Engineer,122,2,5688.37,Monday,Monday,January,16,35-50,0 transaction,
TX000119,AC00085,407.65,2023-07-07 16:11:38,Debit,Boston,D000544,98.255.160.110,M041,Online,26,Engineer,62,1,8346.64,Monday,Friday,July,16,18-35,medium transaction,240.65999999999997
TX000120,AC00092,115.83,2023-05-22 17:09:52,Debit,Fresno,D000663,124.6.134.78,M086,Branch,39,Engineer,167,1,6481.04,Monday,Monday,May,17,35-50,very little transaction,
TX000121,AC00295,53.57,2023-08-16 16:17:12,Debit,Houston,D000489,45.64.74.86,M025,ATM,69,Retired,121,1,1651.33,Monday,Wednesday,August,16,65+,0 transaction,
TX000122,AC00358,63.34,2023-11-17 16:02:02,Credit,Detroit,D000434,69.82.61.135,M028,Online,46,Doctor,165,1,11174.94,Monday,Friday,November,16,35-50,0 transaction,
TX000123,AC00311,317.87,2023-05-22 17:29:35,Debit,Detroit,D000314,79.227.202.117,M076,Online,27,Student,91,1,145.5,Monday,Monday,May,17,18-35,small transaction,
TX000124,AC00066,331.65,2023-08-25 17:26:07,Debit,Portland,D000037,26.240.219.199,M006,Online,41,Engineer,61,1,4172.57,Monday,Friday,August,17,35-50,small transaction,
TX000125,AC00340,5.04,2023-11-27 16:38:34,Debit,Washington,D000021,63.67.150.226,M001,ATM,56,Retired,41,1,5558.36,Monday,Monday,November,16,50-65,0 transaction,
TX000126,AC00284,214.54,2023-08-04 17:46:44,Credit,Detroit,D000112,195.226.203.234,M026,Online,70,Doctor,247,1,11151.53,Monday,Friday,August,17,65+,small transaction,
TX000127,AC00208,598.81,2023-09-04 16:48:35,Debit,Philadelphia,D000042,92.214.76.157,M081,Branch,57,Doctor,158,1,1415.52,Monday,Monday,September,16,50-65,medium transaction,
TX000128,AC00176,841.28,2023-08-09 17:34:26,Debit,Tucson,D000276,101.223.82.253,M083,Online,26,Student,80,1,1103.64,Monday,Wednesday,August,17,18-35,large transaction,
TX000129,AC00053,38.15,2023-09-07 16:07:40,Debit,Mesa,D000687,77.21.150.75,M005,Online,26,Student,108,1,303.68,Monday,Thursday,September,16,18-35,0 transaction,-105.06
TX000130,AC00320,1036.66,2023-07-11 16:39:53,Debit,San Antonio,D000015,53.218.177.171,M062,Branch,58,Doctor,144,1,5541.57,Monday,Tuesday,July,16,50-65,large transaction,
TX000131,AC00382,124.72,2023-07-03 17:14:07,Debit,Oklahoma City,D000118,147.234.20.46,M004,Branch,33,Engineer,105,1,6309.8,Monday,Monday,July,17,18-35,very little transaction,
TX000132,AC00384,302.45,2023-09-25 17:13:36,Credit,San Antonio,D000052,203.99.96.114,M059,Branch,78,Retired,40,1,5133.61,Monday,Monday,September,17,65+,small transaction,
TX000133,AC00203,208.04,2023-11-20 17:10:02,Debit,Louisville,D000339,65.27.212.129,M055,Online,47,Engineer,273,1,9344.98,Monday,Monday,November,17,35-50,small transaction,
TX000134,AC00498,5.77,2023-11-17 17:27:07,Credit,Los Angeles,D000236,85.240.254.83,M098,Branch,23,Student,254,1,1117.97,Monday,Friday,November,17,18-35,0 transaction,-51.209999999999994
TX000135,AC00349,381.33,2023-08-21 16:46:05,Debit,Albuquerque,D000635,62.251.170.72,M034,ATM,56,Doctor,75,1,11835.35,Monday,Monday,August,16,50-65,small transaction,
TX000136,AC00177,16.16,2023-10-16 16:59:36,Debit,Milwaukee,D000465,161.177.41.214,M065,ATM,50,Doctor,124,1,14401.17,Monday,Monday,October,16,50-65,0 transaction,
TX000137,AC00284,486.08,2023-06-20 17:21:50,Debit,Oklahoma City,D000170,138.87.180.254,M060,Online,18,Student,68,1,1748.69,Monday,Tuesday,June,17,18-35,medium transaction,271.53999999999996
TX000138,AC00272,336.39,2023-01-16 16:53:38,Debit,San Antonio,D000426,203.99.96.114,M003,Branch,21,Student,18,1,1000.46,Monday,Monday,January,16,18-35,small transaction,
TX000139,AC00405,997.43,2023-11-22 16:07:19,Debit,Seattle,D000661,100.4.40.132,M067,Online,69,Doctor,118,1,6810.05,Monday,Wednesday,November,16,65+,large transaction,661.8
TX000140,AC00385,234.57,2023-09-01 16:09:08,Debit,Chicago,D000553,45.182.28.148,M045,Online,23,Student,120,1,263.98,Monday,Friday,September,16,18-35,small transaction,-581.3900000000001
TX000141,AC00403,6.0,2023-10-23 18:38:15,Debit,Chicago,D000556,18.72.115.111,M090,Online,30,Doctor,246,1,5442.76,Monday,Monday,October,18,18-35,0 transaction,
TX000142,AC00114,1049.92,2023-10-23 16:50:33,Debit,Detroit,D000522,121.67.144.20,M052,ATM,80,Retired,21,1,2037.85,Monday,Monday,October,16,65+,large transaction,
TX000143,AC00163,227.14,2023-07-03 17:42:08,Debit,Charlotte,D000439,197.162.55.147,M057,ATM,18,Student,294,1,341.94,Monday,Monday,July,17,18-35,small transaction,
TX000144,AC00108,233.74,2023-10-24 16:41:00,Credit,Oklahoma City,D000600,96.115.67.230,M030,Online,66,Retired,17,1,1066.59,Monday,Tuesday,October,16,65+,small transaction,
TX000145,AC00397,113.02,2023-09-25 16:54:22,Credit,Jacksonville,D000369,33.212.169.157,M019,Branch,69,Retired,166,1,6077.96,Monday,Monday,September,16,65+,very little transaction,-643.57
